;RTU表,,,,,,,,,,,,,,
;所属通道,编号,名称,描述,地址,备地址,装置型号,端口参数,规约参数,备端口参数,备规约参数,中央事故总信号点号,属性,报警属性,统计属性
1,1,1#高后备保护,MTPR_840Hb_CH_IEC104_V1.00.03,1H,1H,MTPR_840Hb_CH_IEC104_V1.00.03,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,2,1#低后备保护,MTPR_850Hb_CH_IEC104_V1.00.03,2H,2H,MTPR_850Hb_CH_IEC104_V1.00.03,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313032009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,3,1#差动保护,MTPR_830Hb_CH_IEC104_V1.00.02,3H,3H,MTPR_830Hb_CH_IEC104_V1.00.02,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313033009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,4,1#电容器保护,MCPR_810Hb_CH_IEC104_V1.01.01,4H,4H,MCPR_810Hb_CH_IEC104_V1.01.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313034009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,5,1#PT柜,MPTS_810Hb_IEC104_V1.01.01,5H,5H,MPTS_810Hb_IEC104_V1.01.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313035009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,6,1#馈线保护1,MLPR_810Hb_CH_IEC104_V1.02.01,6H,6H,MLPR_810Hb_CH_IEC104_V1.02.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313036009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,7,1#馈线保护2,MLPR_810Hb_CH_IEC104_V1.02.01,7H,7H,MLPR_810Hb_CH_IEC104_V1.02.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313037009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,8,1#馈线保护3,MLPR_810Hb_CH_IEC104_V1.02.01,8H,8H,MLPR_810Hb_CH_IEC104_V1.02.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313038009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,9,母联保护,MLPR_810Hb_CH_IEC104_V1.02.01,9H,9H,MLPR_810Hb_CH_IEC104_V1.02.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313039009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,10,2#高后备保护,MTPR_840Hb_CH_IEC104_V1.00.03,AH,AH,MTPR_840Hb_CH_IEC104_V1.00.03,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313130009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,11,2#低后备保护,MTPR_850Hb_CH_IEC104_V1.00.03,BH,BH,MTPR_850Hb_CH_IEC104_V1.00.03,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313131009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,12,2#差动保护,MTPR_830Hb_CH_IEC104_V1.00.02,CH,CH,MTPR_830Hb_CH_IEC104_V1.00.02,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313132009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,13,2#电容器保护,MCPR_810Hb_CH_IEC104_V1.01.01,DH,DH,MCPR_810Hb_CH_IEC104_V1.01.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313133009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,14,2#PT柜,MPTS_810Hb_IEC104_V1.01.01,EH,EH,MPTS_810Hb_IEC104_V1.01.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313134009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,15,2#馈线保护1,MLPR_810Hb_CH_IEC104_V1.02.01,FH,FH,MLPR_810Hb_CH_IEC104_V1.02.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313135009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,16,2#馈线保护2,MLPR_810Hb_CH_IEC104_V1.02.01,10H,10H,MLPR_810Hb_CH_IEC104_V1.02.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313136009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,001001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
1,17,2#馈线保护3,MLPR_810Hb_CH_IEC104_V1.02.01,11H,11H,MLPR_810Hb_CH_IEC104_V1.02.01,010000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313137009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,001001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,000000000000000001000000030000000000280005000000302e302e302e300048c19002b8c090023139322e3136382e352e313031009002000064090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01001e001900000014000000000000000a0000000a0000000000000000000000030000000f000000000000000213011500000000640000000000000008000000000000000a0000000000000000101e0000000000000001000000000f000000140000000e00010001000c00000000000000000000000000000000000000000000,0,0,10,0
,,,,,,,,,,,,,,
